date,date_key,year,month,day,day_of_week,month_name
2025-12-31,20251231,2025,12,31,2,December
2026-01-01,20260101,2026,1,1,3,January
2026-01-02,20260102,2026,1,2,4,January
2026-01-03,20260103,2026,1,3,5,January
2026-01-04,20260104,2026,1,4,6,January
2026-01-05,20260105,2026,1,5,0,January
2026-01-06,20260106,2026,1,6,1,January
2026-01-07,20260107,2026,1,7,2,January
2026-01-08,20260108,2026,1,8,3,January
2026-01-09,20260109,2026,1,9,4,January
2026-01-10,20260110,2026,1,10,5,January
2026-01-11,20260111,2026,1,11,6,January
2026-01-12,20260112,2026,1,12,0,January
2026-01-13,20260113,2026,1,13,1,January
2026-01-14,20260114,2026,1,14,2,January
2026-01-15,20260115,2026,1,15,3,January
2026-01-16,20260116,2026,1,16,4,January
2026-01-17,20260117,2026,1,17,5,January
2026-01-18,20260118,2026,1,18,6,January
2026-01-19,20260119,2026,1,19,0,January
2026-01-20,20260120,2026,1,20,1,January
2026-01-21,20260121,2026,1,21,2,January
2026-01-22,20260122,2026,1,22,3,January
2026-01-23,20260123,2026,1,23,4,January
2026-01-24,20260124,2026,1,24,5,January
2026-01-25,20260125,2026,1,25,6,January
2026-01-26,20260126,2026,1,26,0,January
2026-01-27,20260127,2026,1,27,1,January
2026-01-28,20260128,2026,1,28,2,January
2026-01-29,20260129,2026,1,29,3,January
2026-01-30,20260130,2026,1,30,4,January
2026-01-31,20260131,2026,1,31,5,January
2026-02-01,20260201,2026,2,1,6,February
